Sept_2016,IBM,INTC,CSCO,GE,DJ_Industrials_Index
1,$127.58,$18.43,$21.04,$15.39,10447.93
2,$125.95,$18.12,$20.58,$15.44,10340.69
3,$126.08,$17.90,$20.64,$15.70,10387.01
4,$126.36,$18.00,$20.61,$15.91,10415.24
5,$127.99,$17.97,$20.62,$15.98,10462.77
6,$129.61,$18.56,$21.26,$16.25,10544.13
7,$128.85,$18.74,$21.45,$16.16,10526.49
8,$129.43,$18.72,$21.59,$16.34,10572.73
9,$129.67,$18.97,$21.93,$16.23,10594.83
10,$130.19,$18.81,$21.86,$16.29,10607.85
11,$131.79,$18.93,$21.75,$16.55,10753.62
12,$131.98,$19.14,$21.64,$16.52,10761.03
13,$132.57,$19.01,$21.67,$16.50,10739.31
14,$131.67,$18.98,$21.53,$16.14,10662.42
15,$134.11,$19.42,$22.09,$16.66,10860.26
16,$134.65,$19.24,$22.11,$16.43,10812.04
17,$134.89,$19.51,$21.86,$16.44,10858.14
18,$135.48,$19.24,$21.87,$16.36,10835.28
19,$134.14,$19.20,$21.90,$16.25,10788.05
20,$135.64,$19.32,$21.91,$16.36,10829.68
,,,,,
,,,,,
,,,,,
